task,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,modelname,version
SFATNet---v09,95.21/11.86,86.24/21.32,80.78/26.30,98.12/$\phantom{0}$7.20,90.09/16.67,SFATNet,v09
SFATNet---v10,89.49/18.44,84.98/22.60,73.90/32.33,96.81/$\phantom{0}$9.45,86.30/20.70,SFATNet,v10
ASDG---v00,95.70/13.54,65.81/37.45,66.63/38.53,99.90/$\phantom{0}$3.98,82.01/23.37,ASDG,v00
ASDG---v01,99.00/$\phantom{0}$4.81,70.22/25.26,77.81/25.75,99.70/$\phantom{0}$1.51,86.68/14.33,ASDG,v01
ASDG---v02,99.58/$\phantom{0}$5.02,96.19/10.93,95.19/12.08,99.93/$\phantom{0}$0.72,97.72/$\phantom{0}$7.19,ASDG,v02
ASDG---v03,99.57/$\phantom{0}$6.04,84.62/23.52,88.96/20.79,99.97/$\phantom{0}$0.77,93.28/12.78,ASDG,v03
ASDG---v04,99.35/$\phantom{0}$6.11,91.60/12.87,95.10/11.78,99.88/$\phantom{0}$1.58,96.48/$\phantom{0}$8.08,ASDG,v04
ASDG---v06,98.77/$\phantom{0}$5.27,62.03/38.43,76.06/28.32,99.58/$\phantom{0}$2.50,84.11/18.63,ASDG,v06
ASDG---v07,98.74/$\phantom{0}$4.97,73.43/23.42,82.48/19.85,99.69/$\phantom{0}$1.74,88.58/12.49,ASDG,v07
ASDG---v08,98.94/$\phantom{0}$4.83,90.82/14.77,94.55/14.09,99.85/$\phantom{0}$1.06,96.04/$\phantom{0}$8.69,ASDG,v08
ASDG---v09,99.47/$\phantom{0}$5.26,88.09/17.99,87.16/20.94,99.98/$\phantom{0}$0.83,93.67/11.26,ASDG,v09
ASDG---v10,99.31/$\phantom{0}$8.48,89.94/21.20,82.13/26.66,99.97/$\phantom{0}$1.21,92.84/14.39,ASDG,v10
Ours/ResNet---v00,99.09/$\phantom{0}$4.01,97.72/$\phantom{0}$6.96,96.96/$\phantom{0}$7.27,99.71/$\phantom{0}$2.46,98.37/$\phantom{0}$5.18,Ours/ResNet,v00
Ours/ResNet---v01,99.32/$\phantom{0}$3.71,96.47/$\phantom{0}$9.09,95.37/10.67,99.79/$\phantom{0}$2.20,97.74/$\phantom{0}$6.42,Ours/ResNet,v01
