task,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,nan,nan,nan,nan,nan,nan,nan,modelname,version
method,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,,
model,,,,,,,,,,,,,,,,
AudioClip---v02,86.23/19.58,80.80/26.60,80.07/27.39,86.16/20.02,81.64/26.00,86.70/19.85,82.53/24.71,nan,nan,nan,nan,nan,nan,nan,AudioClip,v02
AudioClip---v03,88.88/19.88,84.13/24.39,83.11/25.78,89.56/18.24,84.36/24.14,86.55/22.13,85.42/23.22,nan,nan,nan,nan,nan,nan,nan,AudioClip,v03
AudioClip---v04,90.45/17.42,83.28/25.45,81.65/27.27,89.23/19.13,83.22/25.44,89.60/18.31,84.80/24.12,nan,nan,nan,nan,nan,nan,nan,AudioClip,v04
AudioClip---v06,88.28/19.80,80.50/27.30,78.14/29.10,86.49/21.76,79.96/27.53,88.18/19.76,81.88/26.08,nan,nan,nan,nan,nan,nan,nan,AudioClip,v06
AudioClip---v07,86.44/20.84,82.12/26.38,80.08/28.44,86.03/20.87,82.65/26.12,87.14/20.73,83.12/25.30,nan,nan,nan,nan,nan,nan,nan,AudioClip,v07
AudioClip---v08,89.11/19.01,82.06/26.35,79.82/28.22,87.90/20.05,82.76/25.34,88.50/19.78,83.60/24.83,nan,nan,nan,nan,nan,nan,nan,AudioClip,v08
AudioClip---v09,89.52/17.99,80.96/27.78,79.64/29.23,88.15/20.19,82.50/26.47,89.09/18.55,83.38/25.70,nan,nan,nan,nan,nan,nan,nan,AudioClip,v09
AudioClip---v10,90.42/18.90,84.68/23.74,82.33/26.30,88.87/20.32,83.94/24.66,89.79/19.19,85.38/23.44,nan,nan,nan,nan,nan,nan,nan,AudioClip,v10
Wav2Clip---v00,94.13/13.96,83.36/25.64,80.97/27.78,92.81/15.63,89.86/18.95,95.08/12.72,88.02/21.30,nan,nan,nan,nan,nan,nan,nan,Wav2Clip,v00
Wav2Clip---v01,93.41/14.33,84.18/23.90,82.07/25.48,93.00/15.11,90.15/18.70,94.36/13.44,88.77/19.84,nan,nan,nan,nan,nan,nan,nan,Wav2Clip,v01
Wav2Clip---v02,93.46/14.66,81.98/26.11,78.37/28.57,91.50/17.08,88.19/20.51,95.18/12.32,87.11/21.43,nan,nan,nan,nan,nan,nan,nan,Wav2Clip,v02
Wav2Clip---v03,92.83/14.95,82.77/25.12,79.85/27.63,92.87/15.20,90.78/17.63,94.52/12.93,88.38/19.87,nan,nan,nan,nan,nan,nan,nan,Wav2Clip,v03
Wav2Clip---v04,93.56/13.84,82.48/25.34,81.12/26.43,91.70/16.33,89.03/19.10,95.69/11.02,87.82/20.63,nan,nan,nan,nan,nan,nan,nan,Wav2Clip,v04
Wav2Clip---v06,93.83/13.78,82.80/25.45,79.91/27.47,92.08/16.11,89.26/19.29,95.46/11.63,87.74/21.01,nan,nan,nan,nan,nan,nan,nan,Wav2Clip,v06
Wav2Clip---v07,93.69/14.20,84.17/24.39,81.47/26.74,93.00/15.24,90.07/18.43,94.53/13.40,88.73/19.85,nan,nan,nan,nan,nan,nan,nan,Wav2Clip,v07
Wav2Clip---v08,93.10/14.22,83.38/24.80,80.54/27.78,91.74/15.99,87.27/21.03,94.78/12.32,87.37/21.14,nan,nan,nan,nan,nan,nan,nan,Wav2Clip,v08
Wav2Clip---v09,94.15/13.43,83.65/24.71,80.00/27.62,92.31/15.85,90.47/18.33,95.84/11.00,88.37/20.27,nan,nan,nan,nan,nan,nan,nan,Wav2Clip,v09
Wav2Clip---v10,91.84/15.96,80.56/26.52,79.41/27.61,91.17/16.95,87.51/20.52,94.19/13.16,86.72/21.47,nan,nan,nan,nan,nan,nan,nan,Wav2Clip,v10
AASIST---v00,92.35/16.25,82.76/24.87,88.28/20.05,97.10/$\phantom{0}$8.34,89.61/19.92,88.47/19.81,89.35/19.60,nan,nan,nan,nan,nan,nan,nan,AASIST,v00
AASIST---v01,92.78/15.47,84.23/23.88,88.69/19.98,97.27/$\phantom{0}$8.44,90.21/19.77,89.13/18.91,90.00/18.98,nan,nan,nan,nan,nan,nan,nan,AASIST,v01
AASIST---v02,93.60/13.86,84.78/22.73,89.64/18.19,96.79/$\phantom{0}$9.29,90.17/18.83,90.62/16.99,90.36/17.80,nan,nan,nan,nan,nan,nan,nan,AASIST,v02
AASIST---v03,93.83/14.49,85.29/23.75,89.55/19.46,96.93/$\phantom{0}$9.11,91.32/18.02,90.68/17.98,90.76/18.29,nan,nan,nan,nan,nan,nan,nan,AASIST,v03
